対象,現在の記述(原文のまま),正しい参照先(条番号と見出し),根拠(規約本文のどの記述と照合したか),確定不能な場合の理由
"①privacy(custom line81/147・built-in Policy§4)","作家のプロフィール・経歴・作品情報等を、日本の美術に関する記録資料として保持・公開するため(作家利用規約第11条の2)","第7条(掲載情報の保持・公開)1項・4項","第7条1項「当社は…作家の掲載情報の掲載、記録としての保持、および公開の継続を、当社の判断により行うことができる」、4項「前2項の申し出がない限り、当社は、掲載情報を…記録資料として保持し、公開することができる」が、この一文の内容(当社判断による記録資料としての保持・公開)と一致する。加えてVault正本の規約再編差分表(_ドラフト_サイト規約v4.0と作品販売の条件_20260723)に「第11条の2(掲載情報の保持・公開)→v4.0第7条」と明記あり",""
"①privacy(custom line147・built-in Policy§12前段)","作家さまから掲載の停止または削除のお申し出がない場合、当社は、作家利用規約第11条の2に基づき、プロフィール・経歴・作品情報その他の掲載情報を、日本の美術に関する記録資料として保持し、公開を継続することがあります。","第7条(掲載情報の保持・公開)4項","第7条4項「前2項の申し出がない限り、当社は、掲載情報を日本の美術の記録資料として保持し、公開することができる」と文言レベルでほぼ一致(「申し出がない場合」=「前2項の申し出がない限り」)",""
"①privacy(custom line147・built-in Policy§12後段)","作家さまの逝去後は、ご遺族または著作権を承継された方からのお申し出により、掲載の停止または削除に応じます(作家利用規約第11条の2)。","第7条(掲載情報の保持・公開)3項","第7条3項「作家の逝去後、ご遺族または著作権を承継された方から掲載情報の非公開または削除のお申し出があったときは、当社は…これに応じる」と文言レベルで一致",""
"②artist-onboarding.liquid 116行目","登録料33,000円(税込・初回のみ)が別途かかります。プランの詳細は規約第4条をご覧ください。","第8条(料金)","現行第4条は「利用許諾の範囲」(画像・情報の使用許諾)の条であり登録料とは無関係。第8条1項「情報登録料、システム利用料その他の料金の有無および額または率は、別紙「料金のご案内」…に定める」が登録料の内容と一致。Vault正本の差分表「第4条(区分・料金・支払方法)[旧]→v4.0第8条」とも整合",""
"②artist-onboarding.liquid 129行目","万一の際の掲載について(規約第15条の2)","第7条(掲載情報の保持・公開)3項","現行規約は全14条までしかなく第15条自体が存在しない。「万一の際の掲載」(逝去時の扱い)は第7条3項の内容と一致。Vault差分表「第15条・第15条の2(掲載停止・退会・死亡等)[旧]→v4.0第7条・第10条」とも整合",""
"②artist-onboarding.liquid 151行目","記録として残すことをお選びになった場合の再登録に、再登録料はかかりません(規約第4条7項)","(条文番号なしを推奨)","第4条(利用許諾の範囲)は1〜6項までしかなく7項は存在しない。再登録料の要否はShopify組み込みCancellationsポリシーおよび別紙「料金のご案内」の運用事項であり、terms-artist本文には対応する項番が存在しない","確定不能＝現行規約のどの条文にも「再登録料」を定めた条項が存在しない(料金の内容は別紙参照方式のため規約本文に数値・項番を置かない設計。Vault正本より確認)。是正案は条番号引用を削除し「別紙「料金のご案内」をご覧ください」等へ置き換えること"
"②artist-onboarding.liquid 155行目","出品する作品についての表明保証(第7条:自作であること・第三者の権利を侵害しないこと等)を確認しました。","作品販売の条件(AR-H1)第2条(出品の委託・作家の表明保証・来歴記録)","現行terms-artist第7条は「掲載情報の保持・公開」であり表明保証とは無関係。「表明保証」という語そのものが条見出しに含まれるのはsales-terms第2条のみ。Vault差分表「第7条(出品委託・表明保証・来歴記録)[旧v3.3]→販売条件第2条[新]」が、旧terms-artistにあった表明保証条項がv4.0再編でterms-artistから切り離されsales-termsへ移設されたことを裏づける",""
"③artist-materials.liquid 87行目","顔写真・提供画像の権利について(規約第13条の2)","第4条(利用許諾の範囲)を主に、第5条(作家による保証)1項も関連","第13条の2は現行規約に存在しない。第4条は画像等の利用許諾の範囲を定める条(顔写真・作品画像は第3条2項(4)で提供素材として定義)。第5条1項は「著作権のほか、写り込む人物の肖像・プライバシーに関する承諾を含む」権利を作家が保証する条文で、顔写真の権利表明に直接関連。Vault差分表「第13条・第13条の2(著作権・許諾・肖像・AI・権利処理)[旧]→v4.0第4条・第5条」と整合",""
"③artist-materials.liquid 106行目","作品が販売された際のお振込先です。名義はご本人さま、またはご活動を担う法人・組織のものに限ります(規約第3条の2)。","作品販売の条件(AR-H1)第5条(送金先の確認)","現行terms-artist第3条は「作家が提供する情報・素材」の条で送金先とは無関係。送金先確認を条見出しに持つのはsales-terms第5条のみ。Vault差分表「第3条の2(送金先の確認)[旧]→販売条件第5条[新]」と完全一致(見出し名も同一)",""
"③artist-materials.liquid 143行目","領収書の形式(規約第4条の2)","(対応条文なし)","","確定不能＝Vault正本の差分表に「第4条の2(領収書・請求書・支払明細)→削除(裁定2026-07-23=第8条5項は今回落とす)→次回改定の追補候補①」と明記されており、この規定は現行規約のどこにも存在しない(意図的に削除されたまま未再追加)。是正案は条番号引用を削除し、条文によらない案内文へ置き換えること"
