種別,参照元(ファイル/セクション),参照元の言語,参照している対象,解決したか,実測結果,重大度,備考(意図的か事故か判別材料)
①条番号,atspect-privacy.liquid(/pages/privacy)本文×3箇所,ja限定(pv-jaonly),作家利用規約第11条の2,NG,現行atspect-terms-artist.liquidは全14条構成・第11条に「の2」枝番は存在しない,最重大(法的文書内),本文の趣旨(記録保持・公開)は第7条の内容と一致。旧版の条番号が現行14条構成へ統合された際の更新漏れと推定。事故の可能性が高い
①条番号,Shopify組み込みShop Policies「Privacy policy」(shop.shopPolicies API)×2箇所,ja(組み込みPolicyは多言語構造を持たない),作家利用規約第11条の2,NG,同上。カスタム/pages/privacyとは別文書。checkout.shopify.com経由で表示される標準機能,最重大(法的文書内・決済導線で自動表示),当初スコープ外だったが調査中に発見し追加。customは/pages/privacyに統一されているのにこちらは未更新の可能性
①条番号,atspect-artist-materials.liquid(/pages/artist-materials・未公開),ja(多言語構造なし),規約第13条の2(顔写真・提供画像の権利),NG,存在しない(該当topicは第4条・利用許諾の範囲),中(未公開ページ),未公開のため一般閲覧者への実害は現時点でなし。公開前の是正が必要
①条番号,atspect-artist-materials.liquid,ja,規約第3条の2(送金先名義),NG,存在しない(第3条は「作家が提供する情報・素材」で無関係),中(未公開ページ),同上
①条番号,atspect-artist-materials.liquid,ja,規約第4条の2(領収書の形式),NG,存在しない(第4条は「利用許諾の範囲」で無関係),中(未公開ページ),同上
①条番号,atspect-artist-onboarding.liquid(/pages/artist-onboarding-e84exm7hqg・公開中),ja(多言語構造なし),規約第15条の2(万一の際の掲載について),NG,現行規約は全14条までしかなく第15条自体が存在しない,重大(公開中ページ),ランダム文字列URLで一般ナビからは到達しないが公開中・実在の閲覧者がアクセス可能
①条番号,atspect-artist-onboarding.liquid,ja,規約第4条をご覧ください(登録料33,000円の文脈),条文は実在するが内容不一致,第4条は「利用許諾の範囲」の条・料金の条は第8条,重大(公開中ページ・内容誤認リスク),条番号自体は存在するため機械的な404型検出はできないが、内容として誤り
①条番号,atspect-artist-onboarding.liquid,ja,規約第4条7項(再登録料の文脈),NG,第4条は6項までしかなく7項は存在しない,重大(公開中ページ),同上
①条番号,atspect-artist-onboarding.liquid,ja,第7条:自作であること・第三者の権利を侵害しないこと等(表明保証の文脈),条文は実在するが内容不一致,第7条は「掲載情報の保持・公開」の条・表明保証の条は第5条,重大(公開中ページ・内容誤認リスク),同上
①条番号,atspect-artwork-entry.liquid(/pages/artwork-entry・未公開),ja,規約第13条の2(画像の権利),NG,存在しない(該当topicは第4条),中(未公開ページ),artist-materialsと同一パターンの誤り
①条番号,atspect-artwork-entry.liquid,ja,規約第10条(作品の保管),条文は実在するが内容不一致,第10条は「契約期間・解約」・保管に関する条文はterms-artist/sales-termsいずれにも存在しない,中(未公開ページ),対応する条文自体が存在しない可能性(未執筆の論点)
①条番号,atspect-artwork-entry.liquid,ja,規約第7条の表明保証,条文は実在するが内容不一致,第7条は「掲載情報の保持・公開」・表明保証はterms-artist第5条またはsales-terms第2条,中(未公開ページ),同上
①条番号(対照),atspect-terms-artist.liquid 自己参照(第1〜14条・7条2項・4条4項等),ja,規約内の自己参照,OK,全て実在・整合(全14条構成と一致),-,問題なし(比較対象として記載)
①条番号(対照),atspect-sales-terms.liquid 自己参照(第1〜7条・2条2項・2条5項・4条3項・4条4項等),ja,条件内の自己参照,OK,全て実在・整合(全7条構成とコメント記載が一致),-,問題なし
①条番号(対照),atspect-sales-terms.liquid,ja,作家利用規約第9条(相互参照),OK,terms-artist第9条=作品の販売を行う場合・sales-termsへの参照と符合,-,問題なし
①条番号(対照),atspect-sales-terms.liquid,ja,作家利用規約第13条(本条件の変更),OK,terms-artist第13条=規約の変更・整合,-,問題なし
②文書ID,atspect-terms-artist.liquid,ja,AR-K1 v1.2,OK,Vault正本_完成清書_申込書2種と契約規約書_v1.2_20260723と版番号一致,-,問題なし
②文書ID,atspect-sales-terms.liquid,ja,AR-H1 v1.0(2026-07-23),要確認,Vault正本_ドラフト_サイト規約v4.0と作品販売の条件_20260723ではAR-H1が「v1.0(案)」表記のまま,低(ステータス確認),「(案)」が確定版へ移行済みかは代表・司令塔確認が必要
②文書ID(対照),サイト本文(terms-artist第8条),-,別紙「料金のご案内」への一般的参照(AR-P1/AR-P2の具体的版番号は本文に記載していない),OK,物理書面のAR-P1がv1.0→v1.1に改定されても本文の書き換えは不要な設計,-,安全設計として機能。破損なし
③ページURL,Shopify main-menu(ヘッダーナビ全ページ共通・GraphQL menus API実測),全言語共通(1URL多言語のため),/pages/exhibitions,NG,HTTP404(ページはpublished=false。テンプレートpage.exhibitions.json・セクションatspect-page-header.liquidはテーマ内に実在),最重大(全ページ・全言語のヘッダーに常時表示),ナビメニューに残存したまま裏側だけ非公開化された状態=事故の可能性が高い(意図的非公開ならナビからも外すのが通例)
③ページURL,footer menu「プライバシーポリシー」(GraphQL menus API実測),全言語共通,https://atspect.co.jp/privacy.html(外部ドメイン),部分NG(意図不明),HTTP200で生存しているが、サイト本体の/pages/privacyとは別の外部(旧コーポレートサイト)ページを指している,中(意図確認要),media@atspect.co.jp→.com統一プロジェクトの対象からこのフッターリンクだけ漏れている可能性
③ページURL(対照),atspect-artist-cancellation/artist-guide/artist-registration-form/artist/suzuki-chikako/artists/contact/faq/press/privacy/sales-terms/terms-artist/tokushoho(#kobutsu-hyoji含む)/about/entry-14ffd27c805f/artist-onboarding-e84exm7hqg,-,各ページへのhref参照,OK,全てHTTP200・リダイレクトなし(curl実測),-,問題なし
④ファイル名,atspect-artist-archive.liquid内コメント,-,atspect-collection.liquid,OK,テーマAsset一覧(Admin API)に実在確認,-,問題なし
④ファイル名,その他セクション内コメント各種(.liquid/.jsonファイル名の言及),-,各種ファイル名,OK,いずれもdev向けコメント内であり実在確認済み,-,問題なし(コメントのためユーザーには非表示)
