No,対象,実行内容,状態,備考
1,"privacy.liquid line81・built-in Policy§4","第11条の2→第7条","実行・検証済み","独立re-fetchでdiff=0確認。8言語×2ページのpage-audit実測でconsoleErrorsUnexplained=0"
2,"privacy.liquid line147a・built-in Policy§12前段","第11条の2に基づき→第7条4項に基づき","実行・検証済み","同上。Codexレビューで使い分けの妥当性を確認済み"
3,"privacy.liquid line147b・built-in Policy§12後段","第11条の2→第7条3項","実行・検証済み","同上"
4,"privacy.liquid CSSコメント(199行目)","第11条の2関連→第7条関連","実行・検証済み","開発者コメントの整合性のため追加是正(ユーザー非表示・任意対応)"
5,"artist-onboarding.liquid 116行目","規約第4条→規約第8条","実行・検証済み","独立re-fetchでdiff=0確認。page-audit実測OK"
6,"artist-onboarding.liquid 129行目","規約第15条の2→規約第7条3項→(Codexレビュー後)規約第7条・第10条","実行・検証済み(ただしCodex最終判定=一部改善したが完全解消ではない)","Codexの2回目レビューで『第7条・第10条』でも選択肢全体の法的根拠を完全にはカバーしないと指摘。現行規約に完全一致する条文が無いための限界。詳細は本フォルダREADME参照"
7,"artist-onboarding.liquid 151行目","規約第4条7項→(引用のみ削除)","実行・検証済み","確定不能のため引用符のみ削除。文意は保持されることを確認"
8,"artist-onboarding.liquid 155行目","第7条→作品販売の条件 第2条","実行・検証済み","独立re-fetchでdiff=0確認。page-audit実測OK"
9,"artist-materials.liquid 87行目","規約第13条の2→規約第4条→(Codexレビュー後)規約第4条・第5条","実行・検証済み(Codex最終判定=解消)","Codex1回目レビューで『第4条のみでは第5条の保証条項をカバーしない』と指摘され修正。2回目レビューで解消と確認"
10,"artist-materials.liquid 106行目","規約第3条の2→作品販売の条件 第5条","実行・検証済み","独立re-fetchでdiff=0確認"
11,"artist-materials.liquid 143行目","規約第4条の2→(引用のみ削除)","実行・検証済み","確定不能のため引用符のみ削除。文意は保持されることを確認(Codexも同意)"
12,"artwork-entry.liquid 139行目","規約第13条の2→規約第4条→(Codexレビュー後)規約第4条・第5条","実行・検証済み(Codex最終判定=解消)","materials-87行目と同一パターン"
13,"artwork-entry.liquid 151行目","規約第10条→(引用のみ削除)","実行・検証済み","確定不能のため引用符のみ削除。文意は保持されることを確認(Codexも同意)"
14,"artwork-entry.liquid 166行目","規約第7条の表明保証→作品販売の条件 第2条の表明保証","実行・検証済み","独立re-fetchでdiff=0確認"
15,"フッターNavigationメニュー(footer)の「プライバシーポリシー」項目","url: atspect.co.jp/privacy.html→url: /pages/privacy","実行・検証済み","GraphQL menuUpdateで実行。独立re-fetchで確認。curl実測でHTTP200"
16,"★新規発見(本便)＝snippets/atspect-terms-version.liquid","確定稿 v3.3（2026-07-04・2026-07-13・2026-07-22改定）→v4.0（2026-07-23・契約規約書 AR-K1 v1.2と同一内容）","未実行・ブロックされたまま","artist-onboarding.liquidの同意チェックボックスが{% render %}でこのスニペットを呼び出しており、現行規約(v4.0)への改定に未追随の版番号を表示していたと判明(元の14件のスコープ外・検証中に新規発見)。修正内容は確定・バックアップ済み・書き込みを4回試行したが自動化ツールの安全機構(権限判定)により毎回ブロックされ未実行。詳細はREADME参照"
