語	言語	出現	作家数	用例
近代	zh_cn	366	258	…场酒店大堂画廊、埼玉县立近代美术馆等地多次举办个…
近代	zh_tw	366	258	…場飯店大廳藝廊、埼玉縣立近代美術館等地多次舉辦個…
现代	zh_cn	96	54	…代绘画，展开明快而知性的现代新日本画。神奈川县叶…
現代	zh_tw	96	54	…代繪畫，展開明快而知性的現代新日本畫。神奈川縣葉…
静谧	zh_cn	85	64	…代表作《悲母观音》中那份静谧的祈愿。…
靜謐	zh_tw	85	64	…代表作《悲母觀音》中那份靜謐的祈願。…
端正	zh_cn	60	37	…，战后也在日展活动。他以端正的线条与沉静的色调，…
端正	zh_tw	60	37	…，戰後也在日展活動。他以端正的線條與沉靜的色調，…
风格	zh_cn	44	38	…在画面上配置单纯化形体的风格。作品有《架》《黑色…
作风	zh_cn	44	40	…实表现。其捕捉生命质感的作风广为人知。自1921…
作風	zh_tw	44	40	…實表現。其捕捉生命質感的作風廣為人知。自1921…
風格	zh_tw	43	37	…在畫面上配置單純化形體的風格。作品有《架》《黑色…
意匠	zh_tw	28	19	…麗畫面，便能品味他將古典意匠展開為大畫面構成的手…
意匠	zh_cn	24	18	…丽画面，便能品味他将古典意匠展开为大画面构成的手…
洗练	zh_cn	16	14	…建立起较之力度更显品位与洗练的作风。他长期支撑备…
看点	zh_cn	14	14	…在高畠的风景中，看点不在于地点的名胜性，…
洗練	zh_tw	11	10	…建立起較之力度更顯品位與洗練的作風。他長期支撐備…
画肌	zh_cn	10	6	…面，以及取自西洋画的厚重画肌，便能看出他试图联结…
象嵌	zh_cn	10	3	…将雕金与象嵌的端正器物臻于至境的…
象嵌	zh_tw	10	3	…將雕金與象嵌的端正器物臻於至境的…
情趣	zh_cn	8	6	…光线的外光派表现与日本式情趣相结合的优美女性像。…
情趣	zh_tw	8	6	…光線的外光派表現與日本式情趣相結合的優美女性像。…
佇	zh_tw	7	5	…地明石町》中，留意晨光中佇立女性的側臉，以及衣領…
指物	zh_cn	7	3	…的木工技艺，以拼接木板的指物与挖凿木材的刳物，制…
指物	zh_tw	7	3	…的木工技藝，以拼接木板的指物與挖鑿木材的刳物，製…
用木	zh_cn	5	5	…联想到生命的浑圆形态与活用木纹的表面为特征，以《…
用木	zh_tw	5	5	…聯想到生命的渾圓形態與活用木紋的表面為特徵，以《…
描写力	zh_cn	3	3	…主要舞台活动。他以准确的描写力为根基，将新颖的构…
余白	zh_cn	3	2	…带几分谐趣的线条与题写于余白的字句，便能感到他并…
完成度	zh_cn	3	3	…以格调高雅的意匠与高度的完成度，他将原本属于工匠…
完成度	zh_tw	3	3	…以格調高雅的意匠與高度的完成度，他將原屬工匠手藝…
地肌	zh_cn	2	1	…的作刀流派）为基，锻造出地肌与刃文富于变化、刚健…
地肌	zh_tw	2	1	…的作刀流派）為基，鍛造出地肌與刃文富於變化、剛健…
练物	zh_cn	1	1	…表情，便能体会他不用布或练物，而以雕木这一费工之…
練物	zh_tw	1	1	…表情，便能體會他不用布或練物，而以雕木這一費工之…

★これは「疑いの当たり」であって誤りの件数ではない。語ごとにCodexのネイティブ判定を経てから是正の可否を決める。
